ARPT_ID,ARPT_NAME,LAT_AVG,LONG_AVG,RWY_CNT,RWY_LEN_AVG,RW_LEN_6K_10K,RWY_LEN_GE_10K
ORD,CHICAGO O'HARE INTL,41.97728073,-87.90784101,8,9610.0,4,4
DFW,DALLAS-FORT WORTH INTL,32.89710237,-97.03654778,7,11485.9,3,4
HNL,DANIEL K INOUYE INTL,21.31768083,-157.9173072,6,8067.8,2,2
DEN,DENVER INTL,39.86097963,-104.6718911,6,12666.7,0,6
DTW,DETROIT METRO WAYNE COUNTY,42.21220052,-83.35258916,6,9618.8,4,2
BOS,GENERAL EDWARD LAWRENCE LOGAN INTL,42.36297872,-71.00684073,6,7085.2,2,2
TCS,TRUTH OR CONSEQUENCES MUNI,33.23500312,-107.2692877,5,4683.8,2,0
MWH,GRANT COUNTY INTL,47.21062096,-119.3210441,5,6653.2,1,1
MDW,CHICAGO MIDWAY INTL,41.78594392,-87.75252564,5,5494.8,2,0
MKE,GENERAL MITCHELL INTL,42.94793392,-87.89646317,5,6561.2,2,0
IAH,GEORGE BUSH INTCNTL/HOUSTON,29.98544109,-95.34118851,5,10080.6,4,1
FST,FORT STOCKTON-PECOS COUNTY,30.91525818,-102.9121772,5,4839.6,1,0
ATL,HARTSFIELD - JACKSON ATLANTA INTL,33.63662596,-84.42801424,5,9877.8,4,1
AK51,BIG CREEK,58.64894833,-156.5789703,5,2792.0,0,0
41D,MICHIGAN,42.66880472,-83.45873138,5,3271.4,0,0
VQQ,CECIL,30.21879482,-81.87845975,4,8236.8,2,1
THA,TULLAHOMA RGNL/WM NORTHERN FLD,35.37963501,-86.24665685,4,3729.8,0,0
STL,ST LOUIS LAMBERT INTL,38.74896651,-90.37041086,4,9159.0,3,1
SLN,SALINA RGNL,38.78961801,-97.65430933,4,6690.0,1,1
SLC,SALT LAKE CITY INTL,40.78697845,-111.9754269,4,9622.8,1,2
SER,FREEMAN MUNI,38.9282306,-85.91193525,4,3455.5,1,0
SPS,SHEPPARD AFB/WICHITA FALLS MUNI,33.98921425,-98.49200372,4,9031.0,1,2
SFB,ORLANDO SANFORD INTL,28.77630325,-81.23454171,4,6605.3,1,1
SVC,GRANT COUNTY,32.63686366,-108.1565541,4,5372.0,1,0
SFO,SAN FRANCISCO INTL,37.61854083,-122.3754596,4,9887.8,2,2
PHL,PHILADELPHIA INTL,39.87406814,-75.23678092,4,8250.3,2,1
PIL,PORT ISABEL-CAMERON COUNTY,26.1665114,-97.34670209,4,5629.5,1,0
PIT,PITTSBURGH INTL,40.49135075,-80.2317401,4,10219.5,1,3
OAK,METRO OAKLAND INTL,37.72493463,-122.2197071,4,6391.5,1,1
OSH,WITTMAN RGNL,43.98623083,-88.55647783,4,5166.5,2,0
OKC,WILL ROGERS WORLD,35.39263015,-97.60226051,4,7620.5,3,0
NGP,CORPUS CHRISTI NAS (TRUAX FLD),27.69266268,-97.29000856,4,5751.5,1,0
NQI,KINGSVILLE NAS,27.50451423,-97.80828969,4,8000.3,4,0
MSP,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,44.88191551,-93.22197308,4,9301.5,3,1
NKT,CHERRY POINT MCAS (CUNNINGHAM FLD),34.90297378,-76.88069084,4,8513.3,4,0
MU72,MAUNE FLIGHTPARK,38.4246677,-90.89841944,4,878.8,0,0
NTU,OCEANA NAS (APOLLO SOUCEK FLD),36.82337111,-76.03135802,4,9000.5,3,1
MWC,LAWRENCE J TIMMERMAN,43.11030091,-88.03438256,4,3345.3,0,0
NYL,YUMA MCAS/YUMA INTL,32.65841196,-114.6040071,4,8599.0,2,1
MIA,MIAMI INTL,25.79616523,-80.2897396,4,10370.5,2,2
MAF,MIDLAND INTL AIR AND SPACE PORT,31.94133415,-102.200794,4,6663.8,2,0
MCO,ORLANDO INTL,28.42919854,-81.30677945,4,10752.5,2,2
MEM,MEMPHIS INTL,35.04266639,-89.97662601,4,9596.5,3,1
LAS,HARRY REID INTL,36.0807394,-115.1534368,4,10950.0,2,2
LHW,WRIGHT AAF (FORT STEWART)/MIDCOAST RGNL,31.88771976,-81.56199302,4,4157.8,1,0
LAX,LOS ANGELES INTL,33.94311718,-118.4087997,4,10957.3,1,3
IAD,WASHINGTON DULLES INTL,38.94773992,-77.46088822,4,10725.3,1,3
JFK,JOHN F KENNEDY INTL,40.64013004,-73.77651512,4,11247.5,2,2
HWO,NORTH PERRY,26.00122438,-80.24069942,4,3276.5,0,0
ILI,ILIAMNA,59.75620357,-154.9200706,4,3944.0,0,0
GFK,GRAND FORKS INTL,47.94638865,-97.17166237,4,4689.5,1,0
HLN,HELENA RGNL,46.60692813,-111.9846867,4,4554.3,1,0
HDO,SOUTH TEXAS RGNL AT HONDO,29.35953444,-99.17840229,4,4555.5,1,0
FAI,FAIRBANKS INTL,64.81538057,-147.8534953,4,6152.5,0,1
CVG,CINCINNATI/NORTHERN KENTUCKY INTL,39.0494955,-84.66829057,4,10250.3,2,2
DPA,DUPAGE,41.90853304,-88.2473557,4,5542.8,2,0
CUH,CUSHING MUNI,35.94997924,-96.77449313,4,3262.8,0,0
CCR,BUCHANAN FLD,37.98973436,-122.0569694,4,3792.8,0,0
BZN,BOZEMAN YELLOWSTONE INTL,45.77618569,-111.1490767,4,4874.0,1,0
BNA,NASHVILLE INTL,36.12389791,-86.67788123,4,8684.0,3,1
CLT,CHARLOTTE/DOUGLAS INTL,35.21381892,-80.94850765,4,8794.8,4,0
CNM,CAVERN CITY AIR TRML,32.33860401,-104.2628225,4,5910.3,1,0
AFF,DAVIS FLD (USAF ACADEMY FLD),38.97368854,-104.8196649,4,3751.8,0,0
BAC,BARNES COUNTY MUNI,46.94079931,-98.01780804,4,3196.3,0,0
3PA2,PHILADELPHIA,40.33133159,-75.2479309,4,1814.5,0,0
W03,WILSON INDUSTRIAL AIR CENTER,35.77039694,-77.96979353,3,4499.0,0,0
VGT,NORTH LAS VEGAS,36.21057846,-115.1942766,3,4734.7,0,0
WAL,WALLOPS FLIGHT FACILITY,37.94039105,-75.46627602,3,7187.0,2,0
X60,WILLISTON MUNI,29.3531635,-82.46926551,3,4566.3,1,0
YNG,YOUNGSTOWN/WARREN RGNL,41.26124879,-80.68077663,3,5835.3,1,0
VRB,VERO BEACH RGNL,27.65605528,-80.41733763,3,5264.3,1,0
WRL,WORLAND MUNI,43.96341007,-107.9491706,3,3914.3,1,0
TUL,TULSA INTL,36.19820276,-95.88946778,3,7825.7,3,0
TMB,MIAMI EXEC,25.64782532,-80.43348884,3,5001.3,0,0
TYR,TYLER POUNDS RGNL,32.35389648,-95.40288452,3,6121.3,1,0
TAZ,TAYLORVILLE MUNI,39.53342581,-89.33058119,3,3145.0,0,0
TPA,TAMPA INTL,27.97489173,-82.53189735,3,8767.0,2,1
SEA,SEATTLE-TACOMA INTL,47.45018646,-122.3123162,3,9942.3,2,1
SAF,SANTA FE RGNL,35.61703296,-106.0895758,3,6994.3,3,0
SPF,BLACK HILLS-CLYDE ICE FLD,44.4800033,-103.7842747,3,4133.0,1,0
STP,ST PAUL DOWNTOWN HOLMAN FLD,44.93479783,-93.06028366,3,4712.3,1,0
SDF,LOUISVILLE MUHAMMAD ALI INTL,38.17458788,-85.73553796,3,9238.7,2,1
SUA,WITHAM FLD,27.18188486,-80.22122421,3,5160.3,0,0
SMQ,SOMERSET,40.62598326,-74.6699816,3,2120.7,0,0
SBN,SOUTH BEND INTL,41.70921673,-86.31801127,3,6604.3,2,0
SEE,GILLESPIE FLD,32.82611127,-116.9723557,3,4075.0,0,0
SJX,BEAVER ISLAND,45.692501,-85.56633013,3,3210.3,0,0
SBA,SANTA BARBARA MUNI,34.4259653,-119.8410278,3,4805.3,1,0
SLB,STORM LAKE MUNI,42.59816873,-95.24048471,3,3332.7,0,0
SUU,TRAVIS AFB,38.2673824,-121.9191852,3,8498.7,0,2
SGJ,NORTHEAST FLORIDA RGNL,29.95815156,-81.33920601,3,4437.0,1,0
SJT,SAN ANGELO RGNL/MATHIS FLD,31.35797369,-100.4958592,3,6133.3,1,0
SN29,RUCKER,38.18607037,-99.53552315,3,2383.3,0,0
PHX,PHOENIX SKY HARBOR INTL,33.43357999,-112.0118363,3,9863.0,1,2
RYN,RYAN FLD,32.14205589,-111.1749963,3,4803.3,0,0
PWA,WILEY POST,35.533961,-97.64729255,3,5471.7,1,0
RDU,RALEIGH-DURHAM INTL,35.87586224,-78.78559795,3,7023.3,2,0
RBW,LOWCOUNTRY RGNL,32.92099738,-80.64063657,3,5705.0,1,0
RNP,OWOSSO COMMUNITY,42.99296956,-84.13839356,3,3085.0,0,0
PUB,PUEBLO MEML,38.29020507,-104.4991547,3,7832.7,1,1
RVS,TULSA RIVERSIDE,36.03949627,-95.98441139,3,3983.7,0,0
PMP,POMPANO BEACH AIRPARK,26.24718185,-80.11115541,3,4202.0,0,0
PUC,CARBON COUNTY RGNL/BUCK DAVIS FLD,39.61350144,-110.7518382,3,5326.7,1,0
POU,HUDSON VALLEY RGNL,41.62660221,-73.88433673,3,3033.7,0,0
RYM,RAY S MILLER AAF,46.09235043,-94.36169273,3,3660.0,1,0
POY,POWELL MUNI,44.86633381,-108.7939127,3,3844.0,1,0
S60,KENMORE AIR HARBOR,47.74629953,-122.268463,3,6580.0,2,0
PRC,PRESCOTT RGNL - ERNEST A LOVE FLD,34.65472107,-112.419237,3,5624.3,1,0
RDK,RED OAK MUNI,41.01093445,-95.25867055,3,3350.3,0,0
PRX,COX FLD,33.6366215,-95.45039529,3,5083.3,1,0
RNO,RENO/TAHOE INTL,39.49882853,-119.7680209,3,8701.0,2,1
PSC,TRI-CITIES,46.26471016,-119.1185603,3,6611.3,2,0
ROC,FREDERICK DOUGLASS/GREATER ROCHESTER INTL,43.11931673,-77.6704529,3,6134.3,2,0
PSX,PALACIOS MUNI,28.72750883,-96.25095808,3,5001.0,0,0
PTK,OAKLAND COUNTY INTL,42.66564769,-83.41830557,3,4926.3,1,0
PWK,CHICAGO EXEC,42.11407537,-87.9013781,3,4364.3,0,0
OEB,BRANCH COUNTY MEML,41.9335513,-85.05171681,3,3749.7,0,0
ODO,ODESSA-SCHLEMEYER FLD,31.92139744,-102.3872596,3,5635.3,1,0
OPF,MIAMI-OPA LOCKA EXEC,25.90608763,-80.27837807,3,6370.3,2,0
PAQ,"WARREN ""BUD"" WOODS PALMER MUNI",61.59492547,-149.0888599,3,3727.3,1,0
OSU,OHIO STATE UNIVERSITY,40.07996792,-83.07330387,3,3853.3,0,0
PBI,PALM BEACH INTL,26.68286188,-80.09699717,3,6715.3,1,1
PDX,PORTLAND INTL,45.58868311,-122.5981498,3,8941.7,1,1
PDK,DEKALB-PEACHTREE,33.87590675,-84.30231293,3,4571.7,1,0
OMA,EPPLEY AIRFIELD,41.30315047,-95.89399803,3,8718.7,3,0
ONY,OLNEY MUNI,33.35088003,-98.81916512,3,5100.0,0,0
PGD,PUNTA GORDA,26.91954316,-81.99170883,3,5371.7,2,0
NQX,KEY WEST NAS (BOCA CHICA FLD),24.57436944,-81.6867824,3,8000.7,2,1
NHK,PATUXENT RIVER NAS (TRAPNELL FLD),38.28577514,-76.4118316,3,8850.7,1,1
NEW,LAKEFRONT,30.04185679,-90.02769065,3,4563.3,1,0
MTO,COLES COUNTY MEML,39.47778832,-88.28224788,3,4466.0,1,0
NMM,MERIDIAN NAS (MC CAIN FLD),32.55308009,-88.55452407,3,7468.3,3,0
MU97,LEXINGTON MUNI,39.20986813,-93.92795244,3,2758.3,0,0
NEL,LAKEHURST MAXFIELD FLD,40.03598325,-74.35114252,3,4501.0,0,0
MVI,MONTE VISTA MUNI,37.52949282,-106.0446714,3,3434.0,0,0
NFL,FALLON NAS (VAN VOORHIS FLD),39.41712064,-118.6990836,3,10693.3,1,2
MSN,DANE COUNTY RGNL/TRUAX FLD,43.14027645,-89.33694369,3,7350.7,2,0
NID,CHINA LAKE NAWS (ARMITAGE FLD),35.68551699,-117.6919284,3,8708.7,2,1
MYF,MONTGOMERY-GIBBS EXEC,32.81575876,-117.1397502,3,3799.7,0,0
N51,SOLBERG/HUNTERDON,40.58313408,-74.73739067,3,3684.0,0,0
NPA,PENSACOLA NAS (FORREST SHERMAN FLD),30.35321862,-87.31805663,3,7712.3,3,0
MIC,CRYSTAL,45.0626183,-93.35411292,3,2640.0,0,0
MLB,MELBOURNE ORLANDO INTL,28.10228743,-80.64340384,3,6394.0,0,1
MCK,MC COOK BEN NELSON RGNL,40.20564139,-100.5923716,3,3926.7,1,0
MDH,SOUTHERN ILLINOIS,37.77763362,-89.25310091,3,4722.3,1,0
MO71,BLOCK AIR VILLAGE,39.46345,-94.41689444,3,2533.3,0,0
M47,SAGE LAKE,44.35237453,-83.9459662,3,6133.3,2,0
MIT,SHAFTER-MINTER FLD,35.50741119,-119.1914834,3,3717.7,0,0
MRF,MARFA MUNI,30.37082446,-104.0179805,3,4779.0,1,0
MKO,MUSKOGEE-DAVIS RGNL,35.65958561,-95.36240739,3,4534.7,1,0
MRH,MICHAEL J SMITH FLD,34.73361382,-76.66029496,3,4399.0,0,0
MLI,QUAD CITIES INTL,41.44753914,-90.50819466,3,6939.0,1,1
MHV,MOJAVE AIR & SPACE PORT/RUTAN FLD,35.05997742,-118.1526884,3,8099.7,1,1
M96,USFS,47.90956389,-91.8831875,3,2200.0,0,0
MCI,KANSAS CITY INTL,39.29713815,-94.71339712,3,9934.0,2,1
MRI,MERRILL FLD,61.21291801,-149.8448029,3,2880.0,0,0
MEV,MINDEN-TAHOE,38.9998709,-119.7499649,3,4916.0,1,0
MI4,LAPOINT,46.04125,-83.69097824,3,5033.3,1,0
LVM,MISSION FLD,45.69976558,-110.4486557,3,4062.3,0,0
LNA,PALM BEACH COUNTY PARK,26.5930726,-80.08508663,3,3388.7,0,0
