,CityName,Airport
0,"Hartford, CT",BDL
6,"New York, NY",LGA
13,"Duluth, MN",DLH
15,"Atlanta, GA",ATL
22,"Fayetteville, NC",FAY
29,"New York, NY",JFK
36,"Norfolk, VA",ORF
43,"Minneapolis, MN",MSP
50,"Pittsburgh, PA",PIT
57,"Baltimore, MD",BWI
71,"Roanoke, VA",ROA
85,"Detroit, MI",DTW
90,"Knoxville, TN",TYS
98,"Cincinnati, OH",CVG
103,"Wilmington, NC",ILM
117,"Cedar Rapids/Iowa City, IA",CID
124,"Charleston/Dunbar, WV",CRW
131,"Bangor, ME",BGR
144,"Raleigh/Durham, NC",RDU
158,"Dayton, OH",DAY
165,"Key West, FL",EYW
170,"Newark, NJ",EWR
182,"Charlotte, NC",CLT
198,"St. Louis, MO",STL
200,"Evansville, IN",EVV
214,"Greer, SC",GSP
230,"Fayetteville, AR",XNA
237,"Jacksonville, FL",JAX
260,"Providence, RI",PVD
267,"Charleston, SC",CHS
280,"Savannah, GA",SAV
298,"Grand Rapids, MI",GRR
305,"Cleveland, OH",CLE
326,"Chattanooga, TN",CHA
343,"Lafayette, LA",LFT
349,"Asheville, NC",AVL
358,"Green Bay, WI",GRB
388,"Milwaukee, WI",MKE
402,"Gainesville, FL",GNV
417,"Chicago, IL",MDW
424,"Burlington, VT",BTV
427,"Richmond, VA",RIC
440,"Saginaw/Bay City/Midland, MI",MBS
456,"Albany, NY",ALB
470,"Baton Rouge, LA",BTR
485,"Montgomery, AL",MGM
502,"Minot, ND",MOT
543,"Greensboro/High Point, NC",GSO
564,"Nashville, TN",BNA
581,"State College, PA",SCE
594,"Philadelphia, PA",PHL
614,"Memphis, TN",MEM
620,"Omaha, NE",OMA
642,"Madison, WI",MSN
661,"Marquette, MI",MQT
693,"Appleton, WI",ATW
721,"Syracuse, NY",SYR
740,"Kansas City, MO",MCI
799,"Mosinee, WI",CWA
827,"Columbia, SC",CAE
876,"Albany, GA",ABY
884,"Rochester, NY",ROC
896,"Ithaca/Cortland, NY",ITH
904,"Columbus, OH",CMH
949,"White Plains, NY",HPN
982,"Lexington, KY",LEX
990,"Indianapolis, IN",IND
992,"Springfield, MO",SGF
999,"Traverse City, MI",TVC
1027,"Des Moines, IA",DSM
1121,"Binghamton, NY",BGM
1126,"Charlottesville, VA",CHO
1185,"Grand Forks, ND",GFK
1199,"Kalamazoo, MI",AZO
1222,"Austin, TX",AUS
1246,"Harrisburg, PA",MDT
1275,"Brunswick, GA",BQK
1288,"Huntsville, AL",HSV
1301,"Monroe, LA",MLU
