Dest,Dest_encoding
ABE,0
ABI,1
ABQ,2
ABR,3
ABY,4
ACK,5
ACT,6
ACV,7
ACY,8
ADK,9
ADQ,10
AEX,11
AGS,12
AKN,13
ALB,14
ALO,15
ALW,16
AMA,17
ANC,18
APN,19
ASE,20
ATL,21
ATW,22
AUS,23
AVL,24
AVP,25
AZA,26
AZO,27
BDL,28
BET,29
BFF,30
BFL,31
BGM,32
BGR,33
BHM,34
BIH,35
BIL,36
BIS,37
BJI,38
BLI,39
BLV,40
BMI,41
BNA,42
BOI,43
BOS,44
BPT,45
BQK,46
BQN,47
BRD,48
BRO,49
BRW,50
BTM,51
BTR,52
BTV,53
BUF,54
BUR,55
BWI,56
BZN,57
CAE,58
CAK,59
CDC,60
CDV,61
CHA,62
CHO,63
CHS,64
CID,65
CIU,66
CKB,67
CLE,68
CLL,69
CLT,70
CMH,71
CMI,72
CMX,73
CNY,74
COD,75
COS,76
COU,77
CPR,78
CRP,79
CRW,80
CSG,81
CVG,82
CWA,83
CYS,84
DAB,85
DAL,86
DAY,87
DCA,88
DDC,89
DEC,90
DEN,91
DFW,92
DHN,93
DIK,94
DLG,95
DLH,96
DRO,97
DRT,98
DSM,99
DTW,100
DVL,101
ECP,102
EGE,103
EKO,104
ELM,105
ELP,106
ERI,107
ESC,108
EUG,109
EVV,110
EWN,111
EWR,112
EYW,113
FAI,114
FAR,115
FAT,116
FAY,117
FCA,118
FLG,119
FLL,120
FNT,121
FOD,122
FSD,123
FSM,124
FWA,125
GCC,126
GCK,127
GEG,128
GFK,129
GGG,130
GJT,131
GNV,132
GPT,133
GRB,134
GRI,135
GRK,136
GRR,137
GSO,138
GSP,139
GST,140
GTF,141
GTR,142
GUC,143
GUM,144
HDN,145
HGR,146
HHH,147
HIB,148
HLN,149
HNL,150
HOB,151
HOU,152
HPN,153
HRL,154
HSV,155
HTS,156
HYA,157
HYS,158
IAD,159
IAG,160
IAH,161
ICT,162
IDA,163
ILM,164
IMT,165
IND,166
INL,167
ISP,168
ITH,169
ITO,170
JAC,171
JAN,172
JAX,173
JFK,174
JLN,175
JMS,176
JNU,177
JST,178
KOA,179
KTN,180
LAN,181
LAR,182
LAS,183
LAW,184
LAX,185
LBB,186
LBE,187
LBF,188
LBL,189
LCH,190
LCK,191
LEX,192
LFT,193
LGA,194
LGB,195
LIH,196
LIT,197
LNK,198
LRD,199
LSE,200
LWS,201
MAF,202
MBS,203
MCI,204
MCO,205
MCW,206
MDT,207
MDW,208
MEI,209
MEM,210
MFE,211
MFR,212
MGM,213
MHK,214
MHT,215
MIA,216
MKE,217
MLB,218
MLI,219
MLU,220
MOB,221
MOT,222
MQT,223
MRY,224
MSN,225
MSO,226
MSP,227
MSY,228
MTJ,229
MVY,230
MYR,231
OAJ,232
OAK,233
OGG,234
OKC,235
OMA,236
OME,237
ONT,238
ORD,239
ORF,240
ORH,241
OTH,242
OTZ,243
OWB,244
PAE,245
PBG,246
PBI,247
PDX,248
PGD,249
PGV,250
PHF,251
PHL,252
PHX,253
PIA,254
PIB,255
PIE,256
PIH,257
PIT,258
PLN,259
PNS,260
PPG,261
PRC,262
PSC,263
PSE,264
PSG,265
PSM,266
PSP,267
PUB,268
PVD,269
PVU,270
PWM,271
RAP,272
RDD,273
RDM,274
RDU,275
RFD,276
RHI,277
RIC,278
RIW,279
RKS,280
RNO,281
ROA,282
ROC,283
ROW,284
RST,285
RSW,286
SAF,287
SAN,288
SAT,289
SAV,290
SBA,291
SBN,292
SBP,293
SCC,294
SCE,295
SCK,296
SDF,297
SEA,298
SFB,299
SFO,300
SGF,301
SGU,302
SHR,303
SHV,304
SIT,305
SJC,306
SJT,307
SJU,308
SLC,309
SLN,310
SMF,311
SMX,312
SNA,313
SPI,314
SPN,315
SPS,316
SRQ,317
STC,318
STL,319
STS,320
STT,321
STX,322
SUN,323
SUX,324
SWF,325
SWO,326
SYR,327
TLH,328
TOL,329
TPA,330
TRI,331
TTN,332
TUL,333
TUS,334
TVC,335
TWF,336
TXK,337
TYR,338
TYS,339
USA,340
VCT,341
VEL,342
VLD,343
VPS,344
WRG,345
WYS,346
XNA,347
XWA,348
YAK,349
YUM,350
